location_id,borough,zone,centroid_x,centroid_y,snapped_node_key_x,snapped_node_key_y,snapped_x,snapped_y,snap_distance
105,Manhattan,Governor's Island/Ellis Island/Liberty Island,978960.5655101098,190219.6738759988,978972.6677853343,190226.16935283333,978972.6677853343,190226.16935283333,13.735220599538106
107,Manhattan,Gramercy,988669.5907159669,207721.84599831776,988715.1269715086,207680.11493121908,988715.1269715086,207680.11493121908,61.76594959972213
113,Manhattan,Greenwich Village North,985828.4212628047,206174.92383378567,985830.129073435,206027.3980892004,985830.129073435,206027.3980892004,147.53562936655354
114,Manhattan,Greenwich Village South,984976.1217468228,204630.60798813085,985048.4375469503,204846.90485155853,985048.4375469503,204846.90485155853,228.06557845656002
116,Manhattan,Hamilton Heights,998496.7141232643,240584.40968548536,998253.1925307676,240831.7473933916,998253.1925307676,240831.7473933916,347.100428931483
120,Manhattan,Highbridge Park,1003566.2603607555,247748.72753176547,1003569.9633376835,247751.69807733403,1003569.9633376835,247751.69807733403,4.747228570863713
125,Manhattan,Hudson Sq,982175.1477513816,203883.82011511616,982189.2860052341,203999.93438615656,982189.2860052341,203999.93438615656,116.97185200397463
127,Manhattan,Inwood,1006568.4872109158,254822.37005626204,1006378.0689132853,254723.90059094038,1006378.0689132853,254723.90059094038,214.3720216661482
128,Manhattan,Inwood Hill Park,1005166.5528618793,257117.89256401756,1005423.0640388078,257308.56907159887,1005423.0640388078,257308.56907159887,319.6177630117059
137,Manhattan,Kips Bay,990763.6157375486,209039.35389021187,990652.5889256493,208984.60480920624,990652.5889256493,208984.60480920624,123.79182053543302
140,Manhattan,Lenox Hill East,996787.6630516424,218166.43435262065,996797.8777152855,218191.82165772497,996797.8777152855,218191.82165772497,27.365208089883573
141,Manhattan,Lenox Hill West,995431.1975182528,218699.19272677804,995391.6860171156,218673.05089930704,995391.6860171156,218673.05089930704,47.37672282499039
142,Manhattan,Lincoln Square East,989365.0684747635,221132.7753492982,989353.5473016555,221124.44061500448,989353.5473016555,221124.44061500448,14.219888379725925
143,Manhattan,Lincoln Square West,987671.7097043255,221982.08549405652,987783.615813747,222003.97632750092,987783.615813747,222003.97632750092,114.02712797729433
144,Manhattan,Little Italy/NoLiTa,985104.1485250925,201915.7902762411,985154.6706858594,201872.96664244763,985154.6706858594,201872.96664244763,66.22954280253201
148,Manhattan,Lower East Side,986773.5460921936,201205.26489173816,986875.1173929889,201288.95198898856,986875.1173929889,201288.95198898856,131.6064564960512
151,Manhattan,Manhattan Valley,993063.3768612166,229997.64462564257,993226.1188554387,229966.13046899802,993226.1188554387,229966.13046899802,165.76519161870266
152,Manhattan,Manhattanville,997042.6288288619,237290.9067861568,997078.7907922486,237225.9774182959,997078.7907922486,237225.9774182959,74.3203229728995
153,Manhattan,Marble Hill,1009034.6862712658,258429.1415357122,1009014.5829362583,258435.67197228712,1009014.5829362583,258435.67197228712,21.13742369081895
158,Manhattan,Meatpacking/West Village West,981760.1630105713,207069.85524833892,981779.1244614586,206968.00197981435,981779.1244614586,206968.00197981435,103.60320906657942
161,Manhattan,Midtown Center,990428.5259896307,215447.5272238999,990440.1464981327,215408.06988365453,990440.1464981327,215408.06988365453,41.132929838316855
162,Manhattan,Midtown East,991908.5895674427,214959.58164218976,991906.4234139766,214893.43182353707,991906.4234139766,214893.43182353707,66.18527576902711
163,Manhattan,Midtown North,990463.795428988,217776.8824467348,990566.4060989012,217744.30258938565,990566.4060989012,217744.30258938565,107.65870464067969
164,Manhattan,Midtown South,988362.8334340784,212002.8930353048,988527.5320232012,211956.48839394905,988527.5320232012,211956.48839394905,171.11112178468508
166,Manhattan,Morningside Heights,994834.7872520887,234186.32687196054,994659.4066088556,234352.53659265136,994659.4066088556,234352.53659265136,241.6278983746871
170,Manhattan,Murray Hill,990209.6000628374,211701.31598082214,990127.2403550914,211681.94157205228,990127.2403550914,211681.94157205228,84.6078552805877
186,Manhattan,Penn Station/Madison Sq West,986345.3986002826,211974.4462185278,986338.1528057947,211967.4561062674,986338.1528057947,211967.4561062674,10.067929636898004
194,Manhattan,Randalls Island,1005129.3426640312,227468.71626549485,1004983.5650335762,227606.09054762495,1004983.5650335762,227606.09054762495,200.30679202620098
202,Manhattan,Roosevelt Island,998114.2657032622,216861.1622839399,998176.3185781987,216857.13820522194,998176.3185781987,216857.13820522194,62.183217168395615
209,Manhattan,Seaport,983234.0457177354,197610.8235766767,983148.8579769651,197487.36775264307,983148.8579769651,197487.36775264307,149.99430544312412
211,Manhattan,SoHo,983823.8071189568,203008.49133349792,983937.2453606363,203112.9020952305,983937.2453606363,203112.9020952305,154.17471206687446
